"","ACCIDENT_NO","LONGITUDE","LATITUDE"
"25181","T20160008873",144.92384405,-37.73535719
"50478","T20170011939",142.14940338,-34.20424983
"60394","T20180020481",144.73751032,-37.75518365
"47096","T20170019177",145.34857533,-38.06118989
"20577","T20150023381",145.14841208,-37.71431624
"48424","T20170018885",145.28547192,-37.86516454
"25067","T20160008656",145.93071919,-38.06370617
"6756","T20140026978",145.06914896,-37.64221915
"30432","T20160017006",145.02996332,-37.79195307
"56791","T20170023734",144.35062383,-38.09015926
"6246","T20140025713",144.95005463,-37.8102879
"71755","T20160008913",144.43761,-38.26361542
"26370","T20160005850",145.34129155,-38.04396303
"30038","T20160014360",143.83894217,-37.56004623
"36173","T20160015822",145.11138272,-37.8375068
"61495","T20180024302",145.19542892,-37.83609858
"68790","T20140025780",144.90918845,-37.74946815
"48433","T20170020428",145.05779389,-37.96566306
"21650","T20160002296",144.40442105,-38.26579313
"63057","T20180011315",145.08531021,-37.88389024
"268","T20140014020",-1,-1
"32609","T20160025168",145.04410479,-37.72097761
"58174","T20180023981",145.00512667,-37.71550251
"30336","T20160015016",144.28006387,-36.75851766
"60254","T20190007793",146.40678041,-37.95495014
"4528","T20140022581",-1,-1
"19577","T20150023528",145.44604597,-37.7793956
"39211","T20170010689",145.09869853,-37.86642497
"33591","T20160027350",144.92103987,-37.6854436
"24188","T20160003199",145.06880189,-37.74754069
"57631","T20180015075",143.7444504,-37.52531266
"44137","T20170000840",145.02531323,-37.86988957
"51519","T20180004992",145.20172571,-38.03404814
"73446","T20170002941",144.9487936,-37.74704077
"53359","T20170017678",144.82557999,-37.82577999
"38570","T20170000498",145.06225355,-37.75505563
"25114","T20160008738",145.09172786,-37.87452667
"21949","T20160000660",145.9707812,-37.18717052
"48287","T20170023918",144.83255798,-37.75586698
"6329","T20140026235",146.91231543,-36.12853708
"64097","T20190003961",145.15838039,-38.1029457
"36356","T20170000234",145.93160345,-38.16000523
"15174","T20150015102",145.46212864,-37.53096043
"22251","T20160001157",144.98822689,-37.79405737
"55128","T20180008679",145.17156699,-37.64989874
"51793","T20180000103",144.92558976,-37.76939717
"32349","T20160019866",145.27650059,-38.08333813
"28430","T20160011751",145.40921939,-36.38031005
"22997","T20160005153",145.99027067,-36.81655087
"16189","T20150017856",145.11341829,-37.6894624
"60849","T20180022597",145.05553762,-37.70392193
"10834","T20150006026",144.78564339,-37.75345237
"72234","T20160014873",144.80002319,-37.74224534
"14475","T20150016123",145.52869082,-37.84885042
"75830","T20180011914",144.98105083,-36.17888445
"63922","T20190003579",145.05475791,-37.8834261
"34604","T20170002136",146.88578016,-36.12380027
"30478","T20160020525",144.91816047,-37.75266357
"133","T20140013808",-1,-1
"52312","T20180014245",145.19135266,-37.0289245
"68560","T20140023100",144.79839403,-37.88427415
"55136","T20180017497",144.7101539,-36.92402481
"55481","T20180010554",145.02450053,-37.8695514
"54535","T20180016279",145.292037,-38.05101798
"5450","T20140024395",144.98912928,-37.65442973
